"maxpro.1","maxpro.2"
0.445393332591045,0.475215777868039
0.7068358440988,0.383717874423256
0.562546617782312,0.425656410260212
0.385677445883104,0.528772814289336
0.632128614019356,0.402893180170122
0.496479810667352,0.447862126443246
0.417398945656337,0.50021486642851
0.519722390931256,0.410190416250306
0.669157581985402,0.393429643655189
0.469900571397687,0.461301165084711
0.591448209768829,0.415366390580914
0.536165049471839,0.43406230607989
0.402192210864383,0.514285426298256
0.43004035860826,0.488808741112116
0.480814849092402,0.439765280063134
0.549966135866984,0.405430513097669
0.610112439002926,0.397554405115915
0.502158184296661,0.419007149074951
0.409810937087883,0.532726508601229
0.512149199289146,0.429292986329028
