"ev","IR.1","IR.2","IR.3","IR.4","MR.1","MR.2","MR.3","MR.4","IRR.1","IRR.2","IRR.3","IRR.4","MRR.1","MRR.2","MRR.3","MRR.4"
0.01,0.887201840437164,0.877404202416581,0.874668711599613,0.874668713387222,1,1,1,1,1.01432900099356,1.00312745932339,1,1.00000000204376,1,1,1,1
0.0139393939393939,0.842766201825746,0.831884108218959,0.825295779808712,0.825298576617747,0.999999999999968,1,0.999999999994893,0.999999999999465,1.02116867969576,1.00798299054889,1,1.00000338885658,1.00000000000507,1.00000000000511,1,1.00000000000457
0.0178787878787879,0.798330563210488,0.786927973237811,0.775922860982162,0.775995655164724,0.999999991791004,1,0.99999982050496,0.999999954544865,1.02887877565556,1.01418325559028,1,1.00009381626219,1.00000017128607,1.00000017949507,1,1.00000013403993
0.0218181818181818,0.753894924574179,0.742270662113934,0.726551067139262,0.726984079516173,0.999995328841651,0.99999999998626,0.999962926758784,0.999985269088306,1.03763514867934,1.02163591203102,1,1.00059598340226,1.00003240328416,1.00003707460195,1,1.00002234315785
0.0257575757575758,0.709459285981508,0.69815651891345,0.677193829833217,0.678502657106945,0.999817902378007,0.999999980435935,0.999194990887629,0.999584975834096,1.04764582122114,1.03095522752385,1,1.00193272179407,1.0006234133438,1.00080563809431,1,1.00039029914083
0.0296969696969697,0.665023647875178,0.655197540020507,0.627901600544112,0.630648175187413,0.998175141904357,0.999998114163274,0.99441752013894,0.996609107023878,1.05912080379935,1.04347168322671,1,1.00437421188435,1.00377871637347,1.0056119224685,1,1.0022038900568
0.0336363636363636,0.620588067628316,0.613796041771187,0.578764819949964,0.583394701200276,0.991458156408068,0.999959798727418,0.979581131874885,0.986156216954032,1.07226294038046,1.06052755905974,1,1.00799958997285,1.01212459504038,1.02080344974951,1,1.00671213936773
0.0375757575757576,0.576154056111996,0.573911674409373,0.529893772575882,0.536666288864955,0.974749414481556,0.999655311019115,0.949257457050818,0.962827539812679,1.08730105151309,1.08306929447295,1,1.01278089428406,1.02685462962802,1.05309187048672,1,1.01429547132979
0.0415151515151515,0.531736381003728,0.535293730454768,0.481439631993493,0.49041141060863,0.944378387301432,0.998348802136445,0.901597401520597,0.923688219064839,1.10447155919003,1.11186054259447,1,1.01863531379415,1.0474502097152,1.10731109079582,1,1.02450186469813
0.0454545454545455,0.487406013326726,0.497745484865604,0.433685512405166,0.444698881521152,0.899443872756773,0.994641239209303,0.855196964774959,0.869243023891759,1.12386971523128,1.14771065813375,1,1.02539482828215,1.05173885058567,1.16305515592076,1,1.01642435566934
0.0493939393939394,0.443365135472272,0.461226760690352,0.387125062959743,0.39981033618134,0.841696056363041,0.986727881219673,0.805279714643363,0.802659828018626,1.14527623730313,1.1914153972984,1,1.03276789450058,1.04863358920151,1.22932261809517,1.00326400616212,1
0.0533333333333333,0.400002345630953,0.425824696154261,0.342424829954122,0.356250937085442,0.774577326453428,0.972913247049133,0.754076185084005,0.728412321398787,1.16814643869297,1.24355671348749,1,1.04037705774191,1.06337757297404,1.33566280864226,1.03523260512114,1
0.0572727272727273,0.357868792029256,0.391677544116934,0.300278590609491,0.314649104388494,0.702146199627015,0.952054393591474,0.70328276867216,0.651059533221566,1.1917892357989,1.30438051984301,1,1.04785727064269,1.07846696622759,1.46231541819306,1.08021268837303,1
0.0612121212121212,0.31757698695971,0.358914206763337,0.261252297471761,0.275605422300189,0.628353374957257,0.923760873040457,0.653933773361635,0.574441318729563,1.21559500158668,1.37382220266267,1,1.05493970758278,1.09385128553588,1.60810311327091,1.13838220204612,1
0.0651515151515152,0.279679614599397,0.327631038178706,0.225699159051284,0.239573754161957,0.556355837145072,0.888369850910668,0.606580073401027,0.501335115222714,1.23916994540439,1.45162719948044,1,1.06147384495801,1.10974839035146,1.77200803202468,1.20992935659725,1
0.0690909090909091,0.244584872398613,0.297896723985922,0.193755392655761,0.206813611523894,0.488373917495615,0.846789712584957,0.561470569455758,0.433582910423967,1.26233840021764,1.53748868561912,1,1.06739538285436,1.1263680042603,1.95300527817609,1.29495548822886,1
