"theta.1","theta.2"
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
-0.117298750398474,-1.23882611863107
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
0.542803854237107,0.944325912657019
