"D0.1","D0.2","D0.3","D1.1","D1.2","D1.3","D.1","D.2","D.3"
1,0.0555555555555556,0.944444444444444,1,0.0555555555555556,0.611111111111111,0,0.353220251555009,1
1,0.166666666666667,0.388888888888889,1,0.5,0.277777777777778,0.5,0.757289033783054,1
1,0.277777777777778,0.722222222222222,1,0.722222222222222,0.944444444444444,0.757289033783054,0,1
2,0.388888888888889,0.0555555555555556,2,0.166666666666667,0.166666666666667,0.242710966216946,0.5,2
2,0.5,0.166666666666667,2,0.388888888888889,0.833333333333333,0.646779748444991,1,2
2,0.611111111111111,0.611111111111111,2,0.833333333333333,0.388888888888889,1,0.242710966216946,2
3,0.722222222222222,0.277777777777778,3,0.277777777777778,0.5,0.121341273765412,0.878658726234588,3
3,0.833333333333333,0.833333333333333,3,0.611111111111111,0.0555555555555556,0.353220251555009,0.121341273765412,3
3,0.944444444444444,0.5,3,0.944444444444444,0.722222222222222,0.878658726234588,0.646779748444991,3
