"p1","p2","exact.1","exact.2","den.1","den.2"
0,0,3.00422627401616e-92,0.0146104905314698,6.90191532829916e-06,0.00138912265214765
0.00334448160535117,0.00334448160535117,1.01807788870144e-86,0.0149298206886034,5.96671962783341e-06,0.00116675538783048
0.00668896321070234,0.00668896321070234,2.11350341609342e-81,0.0152562702529819,4.58985352310653e-06,0.000967237559466678
0.0100334448160535,0.0100334448160535,2.7101351941557e-76,0.0155899982632235,3.00217788307245e-06,0.000799652022883133
0.0133779264214047,0.0133779264214047,2.16429200853392e-71,0.0159311703692249,1.68161901370614e-06,0.000672128109006534
0.0167224080267559,0.0167224080267559,1.08524281938845e-66,0.0162799583657737,1.4447002148534e-06,0.00059253512709281
0.020066889632107,0.020066889632107,3.44470383896356e-62,0.0166365367335175,3.54454279408875e-06,0.000569400349732862
0.0234113712374582,0.0234113712374582,6.97745470491678e-58,0.0170010836211217,9.76584088754954e-06,0.000612927993577822
0.0267558528428094,0.0267558528428094,9.09174419920857e-54,0.0173737840152823,2.25032201197626e-05,0.000735972144574544
0.0301003344481605,0.0301003344481605,7.68185404143143e-50,0.0177548232573942,4.48055319037042e-05,0.000954801764274104
0.0334448160535117,0.0334448160535117,4.24224854437208e-46,0.0181443938474023,8.03658843686548e-05,0.00128949135001568
0.0367892976588629,0.0367892976588629,1.54333137376047e-42,0.018542691924339,0.000133436664813098,0.00176377985756965
0.040133779264214,0.040133779264214,3.72783592535443e-39,0.0189499186843316,0.000208651634207649,0.00240426807080106
0.0434782608695652,0.0434782608695652,6.02519093182455e-36,0.0193662799755911,0.000310744343848165,0.0032388758817608
0.0468227424749164,0.0468227424749164,6.56696155409163e-33,0.0197919866416326,0.000444164066166296,0.00429455902708616
0.0501672240802676,0.0501672240802676,4.8638884594013e-30,0.0202272555141244,0.000612606662374543,0.00559438809691257
0.0535117056856187,0.0535117056856187,2.46693902343875e-27,0.020672306847595,0.000818496652577788,0.00715421255610411
0.0568561872909699,0.0568561872909699,8.63387491255863e-25,0.021127365750187,0.00106247527460284,0.00897925280439109
0.0602006688963211,0.0602006688963211,2.10102918468737e-22,0.0215926648391558,0.00134296358873949,0.0110610611720721
0.0635451505016722,0.0635451505016722,3.58209633061886e-20,0.0220684414539491,0.00165587543656332,0.0133753425779649
0.0668896321070234,0.0668896321070234,4.31140943299161e-18,0.0225549386597405,0.00199454866142143,0.0158811045331547
0.0702341137123746,0.0702341137123746,3.69130740771347e-16,0.0230524081034477,0.00234994258488498,0.0185215007223415
0.0735785953177257,0.0735785953177257,2.26534242348868e-14,0.0235611024012699,0.00271111620481972,0.0212265440184346
0.0769230769230769,0.0769230769230769,1.00418831403239e-12,0.0240812756711062,0.00306595909505976,0.0239176131156039
0.0802675585284281,0.0802675585284281,3.24035523457024e-11,0.0246132032947609,0.00340210269515035,0.0265133988775748
0.0836120401337793,0.0836120401337793,7.67157434197655e-10,0.0251571601831706,0.00370790257078096,0.0289366806530687
0.0869565217391304,0.0869565217391304,1.34332376815116e-08,0.0257134246936737,0.00397336122772139,0.0311211403159029
0.0903010033444816,0.0903010033444816,1.75417540059916e-07,0.0262822842693673,0.0041908627963304,0.0330173548678575
0.0936454849498328,0.0936454849498328,1.7230491172272e-06,0.0268640333620419,0.0043556177046753,0.0345971798344327
0.096989966555184,0.096989966555184,1.28468310524824e-05,0.027458973613327,0.00446576427441463,0.0358559415945656
0.100334448160535,0.100334448160535,7.3417951844483e-05,0.028067414040864,0.00452213680452703,0.0368121655878149
0.103678929765886,0.103678929765886,0.000325065002025687,0.0286896712296948,0.00452777447934017,0.0375049248242488
0.107023411371237,0.107023411371237,0.00112864219032139,0.0293260855729385,0.00448729997843329,0.0379892334301068
0.110367892976589,0.110367892976589,0.00311658664022505,0.0299769412546103,0.00440633107228857,0.0383301698211646
0.11371237458194,0.11371237458194,0.00696101979265976,0.030642626896695,0.00429109794988844,0.0385965469032557
0.117056856187291,0.117056856187291,0.0128386760625351,0.0313234753340698,0.00414842507623509,0.0388549329865036
