"D.1","D.2","A.1","A.2"
0,0.451702917598606,0.94825,0.94445
0.100371887948614,0.899628112051386,0.05025,0.06035
0.198496448138259,0.198496448138259,0.50315,0.49645
0.338378180325648,0.661621819674352,0.72295,0.60785
0.451702917598606,0,0.38535,0.27175
0.548297082401394,1,0.24015,0.76485
0.661621819674352,0.338378180325648,0.84935,0.41675
0.801503551861741,0.801503551861741,0.58555,0.14735
0.899628112051386,0.100371887948614,0.42745,0.85125
1,0.548297082401394,0.15065,0.56925
