"cand.1","cand.2"
0.00570342205323194,0.423954372623574
0.00950570342205323,0.846007604562738
0.0133079847908745,0.268060836501901
0.0171102661596958,0.690114068441065
0.0209125475285171,0.112167300380228
0.0247148288973384,0.534220532319392
0.0285171102661597,0.956273764258555
0.032319391634981,0.378326996197719
0.0361216730038023,0.800380228136882
0.0399239543726236,0.222433460076046
0.0437262357414449,0.644486692015209
0.0475285171102662,0.0665399239543726
0.0513307984790875,0.488593155893536
0.0551330798479087,0.9106463878327
0.05893536121673,0.332699619771863
0.0627376425855513,0.754752851711027
0.0665399239543726,0.17680608365019
0.0703422053231939,0.598859315589354
0.0741444866920152,0.0209125475285171
0.0779467680608365,0.442965779467681
0.0817490494296578,0.865019011406844
0.0855513307984791,0.287072243346008
0.0893536121673004,0.709125475285171
0.0931558935361217,0.131178707224335
0.096958174904943,0.553231939163498
0.100760456273764,0.975285171102662
0.104562737642586,0.397338403041825
0.108365019011407,0.819391634980989
0.112167300380228,0.241444866920152
0.115969581749049,0.663498098859316
0.119771863117871,0.0855513307984791
0.123574144486692,0.507604562737643
0.127376425855513,0.929657794676806
0.131178707224335,0.35171102661597
0.134980988593156,0.773764258555133
0.138783269961977,0.195817490494297
0.142585551330798,0.61787072243346
0.14638783269962,0.0399239543726236
0.150190114068441,0.461977186311787
0.153992395437262,0.884030418250951
0.157794676806084,0.306083650190114
0.161596958174905,0.728136882129278
0.165399239543726,0.150190114068441
0.169201520912548,0.572243346007605
0.173003802281369,0.994296577946768
0.17680608365019,0.416349809885932
0.180608365019011,0.838403041825095
0.184410646387833,0.260456273764259
0.188212927756654,0.682509505703422
0.192015209125475,0.104562737642586
0.195817490494297,0.526615969581749
0.199619771863118,0.948669201520912
0.203422053231939,0.370722433460076
0.20722433460076,0.792775665399239
0.211026615969582,0.214828897338403
0.214828897338403,0.636882129277566
0.218631178707224,0.05893536121673
0.222433460076046,0.480988593155894
0.226235741444867,0.903041825095057
0.230038022813688,0.325095057034221
0.23384030418251,0.747148288973384
0.237642585551331,0.169201520912548
0.241444866920152,0.591254752851711
0.245247148288973,0.0133079847908745
0.249049429657795,0.435361216730038
0.252851711026616,0.857414448669201
0.256653992395437,0.279467680608365
0.260456273764259,0.701520912547528
0.26425855513308,0.123574144486692
0.268060836501901,0.545627376425855
0.271863117870722,0.967680608365019
0.275665399239544,0.389733840304183
0.279467680608365,0.811787072243346
0.283269961977186,0.23384030418251
0.287072243346008,0.655893536121673
0.290874524714829,0.0779467680608365
0.29467680608365,0.5
0.298479087452471,0.922053231939163
0.302281368821293,0.344106463878327
0.306083650190114,0.76615969581749
0.309885931558935,0.188212927756654
0.313688212927757,0.610266159695817
0.317490494296578,0.032319391634981
0.321292775665399,0.454372623574144
0.325095057034221,0.876425855513308
0.328897338403042,0.298479087452471
0.332699619771863,0.720532319391635
0.336501901140684,0.142585551330798
0.340304182509506,0.564638783269962
0.344106463878327,0.986692015209125
0.347908745247148,0.408745247148289
0.35171102661597,0.830798479087452
0.355513307984791,0.252851711026616
0.359315589353612,0.674904942965779
0.363117870722433,0.096958174904943
0.366920152091255,0.519011406844106
0.370722433460076,0.94106463878327
0.374524714828897,0.363117870722433
0.378326996197719,0.785171102661597
0.38212927756654,0.20722433460076
0.385931558935361,0.629277566539924
0.389733840304183,0.0513307984790875
0.393536121673004,0.473384030418251
0.397338403041825,0.895437262357414
0.401140684410646,0.317490494296578
0.404942965779468,0.739543726235741
0.408745247148289,0.161596958174905
0.41254752851711,0.583650190114068
0.416349809885932,0.00570342205323194
0.420152091254753,0.427756653992395
0.423954372623574,0.849809885931559
0.427756653992395,0.271863117870722
0.431558935361217,0.693916349809886
0.435361216730038,0.115969581749049
0.439163498098859,0.538022813688213
0.442965779467681,0.960076045627376
0.446768060836502,0.38212927756654
0.450570342205323,0.804182509505703
0.454372623574144,0.226235741444867
0.458174904942966,0.64828897338403
0.461977186311787,0.0703422053231939
0.465779467680608,0.492395437262357
0.46958174904943,0.914448669201521
0.473384030418251,0.336501901140684
0.477186311787072,0.758555133079848
0.480988593155894,0.180608365019011
0.484790874524715,0.602661596958175
0.488593155893536,0.0247148288973384
0.492395437262357,0.446768060836502
0.496197718631179,0.868821292775665
0.5,0.290874524714829
