"x.ev","M.1","M.2","M.3","M.4","M.5","M.6","M.7","M.8"
0,-58.7537880327899,-0.0513537462913973,0.0430176256854793,-15.6506496521788,-0.227680723134185,16.1625267021847,18.0899218915364,-7.47394813323919
0.0526315789473684,-54.7505771359617,-0.0458842112957285,0.0384357895019605,-13.9895297190893,-0.203279769160957,14.4829084565955,15.7895282330418,-6.7102291065687
0.105263157894737,-50.3362985402242,-0.0403959621867074,0.0338812712360408,-12.3218679702152,-0.178861112074543,12.8065283609059,13.5680489472311,-5.94216799194868
0.157894736842105,-45.524112689939,-0.0348890035172076,0.0293540767622886,-10.6488931595062,-0.154424772183219,11.1327675355296,11.4255295490257,-5.16996676933645
0.210526315789474,-40.3237763433783,-0.0293633398609074,0.0248542119129525,-8.97172199285465,-0.129970769790702,9.46099455868871,9.36170585216105,-4.39382751673999
0.263157894736842,-34.7415029636935,-0.0238189758108405,0.0203816825083578,-7.29136165550908,-0.105499125228874,7.79058252792414,7.37601738062882,-3.6139523261226
0.315789473684211,-28.7800897153342,-0.0182559159689504,0.0159364943106368,-5.60871316367749,-0.0810098588262633,6.1209263304619,5.46762236259217,-2.83054322003849
0.368421052631579,-22.4393128947193,-0.0126741649535802,0.011518653062879,-3.92457549797349,-0.056502990938597,4.45145996089865,3.63541418584485,-2.04380206901261
0.421052631578947,-15.7165810286034,-0.00707372740092183,0.0071281644635377,-2.23965047072652,-0.0319785419282823,2.78167372311611,1.87803918424517,-1.25393050978627
0.473684210526316,-8.60782242971878,-0.00145460796333907,0.00276503417521212,-0.554548273523508,-0.00743653218502516,1.11113115238251,0.19391561611495,-0.461129864338275
0.526315789473684,-1.10857230277433,0.00418318868790379,-0.00157073216547587,1.1302063533781,0.0171230179064992,-0.560514504834131,-1.41874631209079,0.334398940163013
0.578947368421053,6.78478587812859,0.00983965786267049,-0.00587912896219223,2.8141673925186,0.04170008793227,-2.23350441334877,-2.96192352963361,1.13245545046628
0.631578947368421,15.0736785284508,0.0155147948695884,-0.0101601506518278,4.49696032822543,0.0662946574663295,-3.90795902973599,-4.43775845072199,1.93283976541571
0.684210526315789,23.7559597016439,0.0212085949848984,-0.0144137917024381,6.17827450303832,0.090906706072289,-5.58386389081195,-5.84853675095131,2.73535261308703
0.736842105263158,32.8245521082104,0.0269210534788016,-0.0186400466271408,7.85785512399923,0.115536213299762,-7.26105645270948,-7.19666473500787,3.53979542689528
0.789473684210526,42.2661758873614,0.0326521655972556,-0.0228389099578692,9.53549499328477,0.140183158687904,-8.93921411486448,-8.48464646118381,4.34597042064286
0.842105263157895,52.0602275125169,0.0384019265855358,-0.027010376274589,11.2110260391588,0.164847521741621,-10.6178435529402,-9.71506078808225,5.15368066244737
0.894736842105263,62.1778662758626,0.0441703316439259,-0.0311544401901074,12.8843107236425,0.189529281985244,-12.2962714738145,-10.8905385073764,5.9627301474995
0.947368421052632,72.5813582298323,0.049957375988896,-0.0352710963501579,14.5552334036097,0.214228418895317,-13.9736368934405,-12.0137397241696,6.77292386971597
1,83.2237175970135,0.0557630548005079,-0.0393603394359019,16.2236917213769,0.238944911958356,-15.6488850249558,-13.0873316423031,7.58406789212269
