"m.low","low","low"
-0.0112663498312811,-0.797267931783222,-0.743143826991062
0.00809063473966082,-0.776078036701706,-0.72081508227421
0.0274219734272921,-0.75140519527772,-0.695051160259591
0.0466702559057652,-0.722920324226739,-0.665561984090634
0.0657757070845592,-0.690317044273771,-0.632087186182961
0.0846763944050304,-0.653323620018763,-0.594408563227365
0.103308457629502,-0.611715149194627,-0.552362780360029
0.12160636039558,-0.565325523233559,-0.505853853845341
0.139503162599177,-0.514058662464109,-0.454864922673142
0.156930812439489,-0.457898535787113,-0.399468823428234
0.173820456683398,-0.396917506038018,-0.339837008886203
0.190102767324008,-0.331282596905802,-0.276246397106311
0.205708282154087,-0.261259352650201,-0.209083801459902
0.220567755368979,-0.187213054528202,-0.138847669514835
0.234612510556626,-0.109607164096954,-0.066146946353166
0.247774776033634,-0.0289989811864401,0.00830302616457773
0.259987929993325,0.0539673579126056,0.0836875490877368
0.271186261303785,0.138570160484478,0.15910228980026
0.281299680175425,0.224019359232797,0.233563470431672
0.280836004501375,0.264382418278976,0.264612131974923
0.252006739860492,0.169267267238509,0.17052936098917
0.223494862233053,0.0744367786037584,0.0770525998723363
0.195407840761143,-0.019512390874273,-0.0150075511501057
0.167808801430609,-0.112044112820743,-0.104867535382532
0.140757011850169,-0.202673816620625,-0.191765699229844
0.114309189919454,-0.290974507139341,-0.274974456171756
0.088519455268986,-0.376580027606838,-0.353812292584405
0.0634390852618427,-0.459184777460301,-0.427654940817288
0.0391162349928716,-0.53853973076921,-0.495945533499247
0.0155956583276676,-0.614444855798269,-0.558203628342925
-0.00708155753143197,-0.686738256111312,-0.614033006236697
-0.0288782380631538,-0.755282563890972,-0.663128133816002
-0.0497613443501279,-0.819949310775915,-0.705279154464629
-0.069702170145722,-0.88060216871895,-0.740375236096652
-0.0886765108107808,-0.937080080286095,-0.76840606836491
-0.106664802180064,-0.989181372486826,-0.789461275242717
-0.123652227698934,-1.03664996120698,-0.803727500330216
-0.139628792437037,-1.07916469916726,-0.811482939761786
-0.15458936285309,-1.1163327987518,-0.81308914712712
-0.168533671459547,-1.14768807741413,-0.808980019270405
-0.181466285819819,-1.17269453844367,-0.799647990556647
-0.193396541604094,-1.19075552874245,-0.785627611834474
-0.204338439731995,-1.2012284255693,-0.76747686115741
-0.214310507940882,-1.20344451415106,-0.745756716473115
-0.223335627437961,-1.19673344446885,-0.72100970769431
-0.231440825625342,-1.18045141244296,-0.693738366907389
-0.238657036238525,-1.15401200866173,-0.664384857880572
-0.245018828632005,-1.11691852362413,-0.633315514746069
-0.250564108435438,-1.06879639594707,-0.601900635154739
-0.255333792531159,-1.00942444048369,-0.621116626312525
-0.259371462663164,-0.938763496574413,-0.624872726790953
-0.262723005205628,-0.856981191679236,-0.611481905572845
-0.265436254102103,-0.764471621849158,-0.580770082492765
-0.267560689058438,-0.661868912577428,-0.532993319991317
-0.269147415457452,-0.550053883538928,-0.468839639265356
-0.270251078592152,-0.430153844615947,-0.389422912295761
-0.270986905350467,-0.303557157234758,-0.296320401246505
-0.291026518725331,-0.275446476770041,-0.232260984545188
-0.317083484943881,-0.269129226893572,-0.177038916500511
-0.34236425183477,-0.248600716603358,-0.117484337487474
-0.3667396331429,-0.213890652521789,-0.0533298303369374
-0.39009252510242,-0.1653542140167,0.0155445425828015
-0.412310420832765,-0.103673822740397,0.0890908693235392
-0.433285095741181,-0.0298547141565312,0.167071453888862
-0.452912976502622,0.0547885612697681,0.249043213688313
-0.471095632407918,0.148654835194496,0.334350014561071
-0.487740285602282,0.249887821189336,0.42212373186992
-0.50276031139676,0.356415664628745,0.511294355984567
-0.516075717399107,0.465997481328135,0.600609028734215
-0.52761359546769,0.576275556718398,0.688659479760444
-0.537308542404308,0.684831656633129,0.77391693700737
-0.545103046148086,0.789245720076532,0.854773215401885
-0.550947834699571,0.887154979230841,0.929586256187367
-0.55480218532716,0.976310204195942,0.996726686364002
-0.556634191876141,1.05346055638385,1.05351140393034
-0.556420988249965,0.999469317006076,1.002352889754
-0.554148926379663,0.931435408109773,0.936391703629675
-0.549813707247427,0.852318973163198,0.858633941791778
-0.543420463787248,0.764129091947066,0.771203871048307
-0.534983794750719,0.669043267878118,0.676399626658852
-0.52452774890054,0.569354549853359,0.576632484331427
-0.512085759179338,0.467414575421516,0.474363332779831
-0.497700526800244,0.365575760170955,0.372039874941022
-0.481423855525363,0.266134529372362,0.272036488801179
-0.463316436755222,0.171277289200388,0.176598378935807
