"feasible.1","feasible.2"
0.445393332591045,0.475215777868039
0.537174582719654,0.414069908597113
0.582964293115847,0.404510235927009
0.495459445962706,0.431527099114077
0.631216383832854,0.402492110738482
0.563237535232645,0.416434490987635
0.484880581661465,0.446670797023135
0.504100920774708,0.417976668420313
0.615020576197279,0.409256495892268
0.421811462725652,0.498954810600115
0.555527193363851,0.418298758537562
0.39674213692988,0.518498211607949
0.604781440894718,0.412320764694957
0.659201434841051,0.396182209819416
0.507727575769275,0.432092421377162
0.54715813363655,0.40508210975952
0.503938721642974,0.441646712549352
0.591357829178988,0.406060514137612
0.579831602038874,0.413129564463331
0.575487783318926,0.414797618042361
0.525472831585139,0.416204205869818
0.500922639113581,0.424802637513906
0.564718826876567,0.417256276387535
0.489610577424238,0.450630272087797
0.456743572654829,0.466208038551335
0.516715273615047,0.427234507624602
0.402717449155669,0.519666220294719
0.561450602155365,0.417707763507902
0.507974015736214,0.428893956297017
0.543683056852422,0.415129457086909
0.623680109041904,0.401008078464302
0.543668201783935,0.411994439517271
0.403797647109965,0.520411605260444
0.463899432077711,0.465032206803327
0.494308413248218,0.447061306470782
0.539657463352883,0.43163982946916
0.581603691009677,0.414376724335991
0.405615779159414,0.509622487249812
0.523980076279787,0.436628237816791
0.54557556767789,0.410282586735415
0.410447788640335,0.531835102124335
0.612101607250581,0.407634654414323
0.51475115517955,0.411671574467954
0.620406323613545,0.405786262559181
0.57047538244667,0.418896534949169
0.53467261466797,0.408264408862274
0.497926184078329,0.438722327805709
0.469900571397687,0.461301165084711
0.629310928072589,0.399156569951621
0.586049858167665,0.40933558278094
0.556495635745022,0.412163852041021
0.392941367115993,0.519869227464008
0.560902386503809,0.411970548296627
0.524435918346022,0.410532418432985
0.475739716016664,0.444384558479306
0.480814849092402,0.439765280063134
0.565057666518982,0.421484726640352
0.595129078445439,0.399408929392924
0.498787777088271,0.41981497161214
0.584148124858043,0.406789966995867
0.473760433747948,0.453447435963317
0.417147079307423,0.499854287584883
0.55053080544055,0.407272095863419
0.649427342734421,0.397505008243076
0.500701591477618,0.429047362266406
0.678458963077101,0.391791410321097
0.594338205897892,0.41081366133716
0.607471803619594,0.407296865192757
0.656703220347543,0.393272558676449
0.614061469730502,0.409842653047282
0.521717549824829,0.439702037937068
0.57026172318165,0.417862381476413
0.600817841698353,0.411639419890833
0.54440103131433,0.419621197695322
0.670242222462681,0.393961059510459
0.555877786930834,0.414299190455864
0.4997897866574,0.428902916888057
0.549445444306165,0.429639543376227
0.568308100682781,0.418256129877514
0.46153049276842,0.463743664473922
0.668646861537101,0.389499216253685
0.536715185186316,0.413540780865594
0.485491301540672,0.433466242723947
0.660526034433413,0.396858845132899
0.508162586473532,0.432852283052471
0.548330784738399,0.421031869471923
0.515223900335815,0.41960363151951
0.525069138162113,0.421089718793759
0.572635361762615,0.420725163437373
0.582465890912891,0.419278303959805
0.481927208606484,0.453911706684972
0.553594607347599,0.414547877596477
0.537846870952493,0.4135112403217
0.600440449153548,0.399532002976753
0.412312855252158,0.516206195878696
0.496058486080728,0.43821124751148
0.52725786113455,0.43473635534948
0.494331381835055,0.441500216902096
0.495862694361673,0.44954659998398
0.632112545894741,0.398607180198363
0.568195165048856,0.408275170005981
0.492520250549566,0.44357225741812
0.543617054668625,0.419776534634111
0.609748269785664,0.405961081190689
0.496479810667352,0.447862126443246
0.482939775820055,0.453176350490511
0.52587500970176,0.415278391682594
0.543060927880611,0.427977916661496
0.654759351644802,0.397001656430331
0.403491006289765,0.527735369592367
0.413753805788131,0.51803283467317
0.405509471061041,0.516247357410998
0.670872914458762,0.391643108683038
0.571428180905543,0.402782546314669
0.513253567757118,0.440615832120734
0.679649104940107,0.39122799520991
0.6195240799642,0.398042018258171
0.555864746787192,0.40692048054764
0.534250255161985,0.408395528362996
0.605289843613263,0.398828180524318
0.52412335240856,0.429149860603907
0.404570623713485,0.50917172347646
0.550627704825834,0.409611098344591
0.508000717586463,0.42667000437699
0.515266625907591,0.417844789581194
0.642130021840089,0.393672169361829
0.514070014514099,0.428164708891164
0.460426135457563,0.466088008210273
0.55838710067492,0.418908014757964
0.510772772716032,0.424494792628007
0.611841425125005,0.409721742126676
0.406108255580901,0.515135309510508
0.593301758653077,0.404746166986157
0.613744693711556,0.398698107099591
0.414873899825944,0.509485794555405
0.560502023194842,0.425120057654507
0.697767520716467,0.384753939801282
0.4834712703273,0.442954872821185
0.549407375385489,0.410551099247665
0.538907493110518,0.421375070315225
0.464329542340785,0.459377664055161
0.400813650271958,0.512114736532175
0.39387239408927,0.523389043005798
0.471628996781819,0.449333360784955
0.599044355841051,0.405330261486885
0.489058061726438,0.452081472265529
0.580287589678303,0.413638270116879
0.534566320021374,0.412182143519612
0.545055548800828,0.430457415494423
0.530040975382503,0.416165725523008
0.406579576812456,0.526263282426405
0.502158184296661,0.419007149074951
0.554762856397915,0.40988729249404
0.394241845457326,0.52632203391118
0.399322924272015,0.524986181070928
0.572642498299477,0.420869577074298
0.641425796006168,0.397870490936111
0.697484315836939,0.385844486787384
0.612414237013536,0.408349991105576
0.508865025249755,0.424013048835676
0.527667376676786,0.409776506738169
0.524070106153311,0.422600327790554
0.592303174101596,0.408819195688986
0.52440550474942,0.434003153201633
0.407973118693582,0.529786903828171
