"D2.1","D2.2"
0.649863896030302,1
0.0814033194710863,0.0814033194710862
0.473665774274719,0.863474495496053
0.760644625494682,0.760644625494682
0.586337181357053,0.586337181357053
0.239355374505318,0.239355374505318
0.69780146137149,0.30219853862851
0.192751706658262,0.958652208429959
0.350136103969698,0
0,0.350136103969698
0.30219853862851,0.69780146137149
0.413662818642946,0.413662818642946
0.807248293341738,0.0413477915700414
0.918596680528914,0.918596680528914
0.526334225725281,0.136525504503947
0.136525504503947,0.526334225725281
0.958652208429959,0.192751706658262
0.863474495496053,0.473665774274719
1,0.649863896030302
0.0413477915700414,0.807248293341738
