"lng","lat"
-86,31.8
-86.29,32.7
-86,31.8
-85.957,31.801
-85.7,32.4
-85.71,32.42
-85.7,32.2
-86.5,32.8
-86.2,32.6
-86.1,32.5
-86.33,32.4
-86.3,32.2
-86.26,32.35
-86.28,32.38
-86.4,32.3
-86.25,32.37
-86.25,32.45
-86.27,32.34
-86.36,32.38
-86.34,32.38
-86.248,32.408
-86.23,32.27
-86.14,32.37
-85.9,33.65
-85.9,33.6
-85.77,33.73
-85.83,33.73
-85.7,33.7
-85.89,33.76
-85.9,33.2
-85.7,33.2
-85.7,33
-85.7,33.5
-86,33.59
-85.5,33.8
-85.37,33.47
-85.6,33.6
-85.8,33.9
-85.8,33.3
-85.9266,33.1912
-85.9,33.5
-85.4,33.7
-86,33.8
-85.6,33.9
-85.4,33.55
-85.4,33.2
-85.6,33.1
-85.82,33.76
-85.5,33.3
-85.9,33.9
-85.4,33.4
-85.41,31.15
-85.4,31.3
-85.5,31.19
-85.2,31.6
-85.7,31.6
-85.2,31.2
-85.796,31.176
-85.76,31.02
-85.88,31.18
-85.4,31.6
-85.96,31.17
-85.2,31.3
-85.3,31.1
-85.3,31.21
-85.7,31.3
-86.1,31.4
-85.9,31.3
-85.92,31.07
-85.2,31.1
-85.7,31.1
-85.3,31.4
-85.94,31.55
-85.5,31.4
-85.9,31.4
-85.6,31.3
-85.3,31.5
-85.6,31.5
-85.71,31.4
-85.15,31.12
-85.5,31.4
-85.1,31.5
-85.49,31.58
-85.5,31.1
-85.26,31.25
-86.9,31.5
-86.6,31.2
-86.5,31.4
-87.2,31.7
-87.1,31.1
-87,31.4
-87.4,31.9
-87.6,31.7
-87.3,31.5
-87.2,31
-86.4,31.1
-87.4,31.7
-87.4,31.4
-87.73,31.78
-87.8,31.7
-86.1,31.2
-87.21,31.32
-86.4,31.1
-86.8,31.6
-87.3,31.5
-86.3,31.3
-87.5,31.4
-87.2,31.6
-87.38,31.25
-86.6,31.4
-87.2,31.4
-86.6,31.2
-86.1,31.1
-87.6,31.4
-87.36,31.78
-87.6,31.6
-86.7,31
-87.5,31.2
-88.02,30.96
-87.7,30.9
-88.26,30.4
-87.75,30.31
-88,31.1
-88.1,31.2
-88.3,31.5
-88.2,31
-88.3,31
-88.17,30.38
-88,31.8
-88,30.9
-87.86,30.6
-87.9,30.7
-88.2,30.2
-88.3,31.2
-87.5,30.4
-87.9,30.5
-87.7,30.4
-88.15,31.64
-88.3,31.4
-87.66,31.48
-88.3,30.5
-87.8,30.3
-87.5,31.2
-88.24,30.48
-87.9,31.5
-87.97,31.49
-87.45,30.41
-87.75,31.26
-87.8,30.6
-88.1,31.3
-87.77,30.4
-88.011,31.195
-88.3,31.6
-87.897,30.572
-88,31.1
-87.56,30.28
-87.66,31.04
-87.91,30.473
-87.6,30.6
-88.255,30.503
-88.05,31.53
-88.1,30.8
-88.06,30.85
-87.48,30.52
-88.28,30.79
-87.76,30.53
-87.76,30.73
-87.8,31.1
-87.7,30.5
-88.001,31.378
-88.2,30.5
-88.22,31.4
-88.38,31.25
-88.1,31.4
-88.3,30.8
-88.179,30.554
-88.03,30.71
-88.05,30.68
-88.07,30.68
-88.09,30.6
-88.1,30.67
-88.1,30.7
-88.3,30.7
-88.16,30.66
-88.08,30.73
-88.07,30.77
-88.11,30.75
-88.18,30.81
-88.07,30.64
-88.053,30.686
-88.09,30.72
-88.17,30.74
-88.19,30.59
-88.1741,30.6933
-88.15,30.63
-88.29,30.63
-87,32.5
-86.9,32.5
-87.4,32.2
-87.57,32.07
-87.3,32.1
-87.3,32
-88.05,31.93
-87.5,32.2
-87.9,32.4
-87.77,32.09
-87.6,32.4
-87.9,32.6
-87.7,32.5
-87.6,32.7
-87.7,32.3
-86.85,32.54
-86.8,32.8
-87.58,31.89
-86.6,32.3
-87,31.9
-87.71,32.12
-87.3,32.7
-86.9,32.6
-87.3,32.4
-87,32.1
-87.8,32.3
-87.57,32.58
-87,31.9
-87.2,32.2
-87,31.9
-87.5,32
-87.4,32.3
-87,32.2
-87.8,32.7
-87.9,32.1
-87.6,32.2
-87.8,31.9
-86.8,32.3
-87.5,32.5
-86.94,32.74
-86.9,32.9
-87,32.8
-85.4,32.7
-85.3,32.5
-85.5,32.5
-85.55,32.59
-85.49,32.6
-85.7,32.8
-85.26,32.76
-85.8,32.8
-85.2,32.7
-85.3,33
-85,32.3
-85.3,32.3
-85.1,32.2
-85.4,32.3
-85.83,32.88
-85.4,32.9
-85.3,32.9
-85.6,32.6
-85.7,32.5
-85.03,32.5
-85.1,32.4
-85.12,32.49
-85.1,32.2
-85.2,32.6
-85.2,32.3
-85.09,32.58
-85.5,32.7
-88.13,32.45
-88.3,32.1
-88.3,32.4
-88.3,31.9
-88.17,32.25
-88.3,32.2
-88.43,31.95
-88.35,31.96
-88.08,32.19
-88.3,31.8
-88.2,32
-88.1,32.3
-88.2,32.4
-112.08,33.45
-112.07,33.45
-112.05,33.47
-112.09,33.45
-111.99,33.46
-112.13,33.44
-112.07,33.51
-112.08,33.51
-112.06,33.51
-112.1,33.51
-112.03,33.51
-112.12,33.51
-111.99,33.51
-112.14,33.51
-112.05,33.57
-112.1,33.56
-112.05,33.62
-112.09,33.63
-112.04,33.69
-112.1,33.68
-112,33.57
-112.11,33.59
-112.17,33.49
-112.01,33.63
-112.21,33.49
-112.01,33.43
-112.19,33.47
-112.28,33.49
-112.03,33.41
-112.12,33.38
-112.03,33.36
-112.2,33.43
-112,33.34
-112.11,33.31
-112.03,33.32
-112,33.69
-112.13,33.56
-112.13,33.63
-111.95,33.69
-112.17,33.74
-112.06,33.75
-112.1,33.8
-112,33.9
-111.2,33.3
-111.48,33.41
-111.58,33.41
-111.9,33.1
-111.8,32.9
-111.691,32.731
-111.5,32.9
-111.7,32.7
-111.2,32.9
-110.8,33.01
-111,33.1
-111.9,33
-112.2,33.1
-111.5,33.3
-111.49,32.72
-111.6,33.2
-111.5,33.2
-111.37,32.55
-111.75,33.08
-111.9,32.9
-111.13,33.28
-110.7,32.9
-111.9,32.8
-111.6,32.9
-111.86,33.44
-111.88,33.38
-111.8,33.45
-111.79,33.4
-111.72,33.43
-111.72,33.4
-111.4,33.5
-111.63,33.4
-111.64,33.38
-111.84,33.39
-111.63,33.32
-111.74,33.46
-111.66,33.5
-111.88,33.32
-111.82,33.32
-111.99,33.27
-111.82,33.35
-111.74,33.37
-111.9,33.23
-111.8,33.23
-111.9,33.53
-111.92,33.49
-111.97,33.54
-111.95,33.62
-111.86,33.67
-111.8,33.5
-111.92,33.46
-111.88,33.56
-111.81,33.6
-111.89,33.61
-111.8,33.8
-111.7,33.8
-111.5,33.8
-111.93,33.77
-111.74,33.6
-111.93,33.44
-111.93,33.4
-111.94,33.37
-111.93,33.33
-111.86,33.27
-111.74,33.31
-111.74,33.33
-111.74,33.28
-111.73,33.24
-112.18,33.53
-112.18,33.57
-112.22,33.53
-112.18,33.6
-112.26,33.53
-112.18,33.62
-112.31,33.54
-112.19,33.67
-112.38,33.54
-112.17,33.69
-113.2,34
-113,32.2
-113,33.1
-112.32,33.42
-111.9,34.1
-114.006,33.93
-112.5,33.2
-114.5,33.6
-112,33.8
-112.85,34.16
-113.4,33.1
-114.506,33.618
-112.33,33.59
-114.787,32.562
-113,32.8
-112.4,33.3
-112.2,33.3
-112.4,33.5
-113.1,32
-112.5,33.9
-112.686,33.345
-114.1,33.8
-112.25,33.57
-114.22,33.69
-113.8,32.8
-113.7,33.8
-114.784,32.492
-114.7,32.5
-112.28,33.6
-113.99,32.69
-112.28,33.42
-113,33.4
-112.5,33.6
-114.1,33.1
-113.55,33.82
-113.607,34.697
-112.6,33.7
-112.7,34.19
-112.31,33.59
-114.7,32.6
-114.5,32.8
-114,32.4
-114.1,33.8
-112.3,33.68
-112.4,33.65
-112.36,33.67
-111.921,33.824
-112.38,33.6
-112.23,33.61
-112.25,33.65
-112.4,33.8
-112.5,33.7
-112.44,33.61
-113,33.9
-112.32,33.48
-112.4,33.48
-112.6,33.6
-110.7,33.5
-110.42,33.12
-109.8,32.87
-109.3,33.4
-109.2,32.8
-109.93,33.01
-110.02,33.02
-110.9,33.3
-109.4,33
-111.2,34.1
-110.4,33.6
-109.9,32.9
-111.45,34.39
-111,33.7
-109.5,32.8
-110,33.3
-109.4,32.8
-109.77,32.83
-111.2,34
-111.2,34
-111.331,31.577
-110.3,32.2
-109.9,31.4
-109.4,32.3
-110,32
-109.4,31.5
-109.552,31.344
-110.1,32.1
-109.7,31.7
-110.5,31.7
-110.34,31.56
-110.9,31.8
-110.2,31.4
-110.3,31.7
-109.7,31.5
-110.64,32.72
-110.758,32.442
-109.944,31.337
-111,31.4
-111.2,31.7
-110.9,32.7
-110.7,31.5
-109.6,31.9
-109.579,31.358
-110.3,32.2
-111,32
-110.2,31.8
-110.6,32.6
-109.2,31.9
-111.47,31.46
-111.873,31.916
-110.2,31.6
-110.67,31.66
-110,31.7
-111.04,31.57
-110.7,32
-109.9,32.5
-111,31.7
-111.06,31.62
-111,31.5
-110.3,31.5
-111.7,32.3
-111.5,32.4
-111.2,32.6
-110.97,32.22
-110.98,32.34
-111,32.27
-110.93,32.15
-110.84,32.16
-110.87,32.18
-110.82,32.22
-110.89,32.21
-110.9,32.24
-111,32.2
-110.94,32.16
-110.83,32.25
-110.92,32.24
-110.91,32.34
-110.95,32.25
-110.79,32.17
-111.4,32.1
-112,32
-110.97,32.4
-110.8,32.5
-111.05,32.33
-111.07,32.41
-111.2,32.3
-111.07,32.24
-111.03,32.12
-110.7,32.1
-110.73,32.21
-110.7,32.4
-110.83,32.33
-110.98,32.47
-110.9,32.1
-111.14,32.13
-110.1,34
-110.428,34
-110.1,34.1
-109.2,33.8
-109.08,33.66
-110.295,34.363
-109.7,34.5
-109.3,33.9
-109.992,33.788
-109.46,34.03
-110.5,34.5
-110.1,34
-109.853,34.076
-110.804,34.329
-109.3,33.9
-110.56,34.4
-110.26,34.29
-109.91,34.13
-109.3,34.6
-110,34.6
-109.5,34.2
-110.089,34.462
-109.693,34.255
-109.9,33.7
-110.041,34.782
-111.8,35.2
-111.7,35.5
-111,36
-111.7,35.5
-111.81,35.24
-111.55,35.72
-111.646,34.945
-111.96,35.25
-111.6,36
-113.1,36.6
-112.5,36.7
-112.122,36.053
-111.2,34.6
-110.3,35.1
-110.1,34.9
-110.1,34.9
-110.665,35.92
-110.3,35.1
-110.32,34.96
-110.7145,36.3831
-110.38,35.52
-111.09,35.14
-111.9,36.8
-111.5,34.9
-110.61,35.87
-111.3,36.4
-110.496,35.786
-110.461,35.752
-111.135,36.146
-111.222,36.127
-112.5,35.7
-110,36
-112.2,36.5
-111.124,36.326
-110.6924,36.4644
-112.41,34.62
-112.4,34.5
-112.9,34.9
-112.5,34.5
-112.33,34.59
-112.2,34.8
-112.53,35.24
-113.179,34.567
-111.8,34.4
