"pmc.center.1","pmc.center.2","pqmc.center.1","pqmc.center.2"
0.5,0.5,0.5,0.5
0.75,0.25,0.75,0.25
0.25,0.75,0.25,0.75
0.375,0.375,0.375,0.375
0.875,0.875,0.875,0.875
0.625,0.125,0.625,0.125
0.125,0.625,0.125,0.625
0.1875,0.3125,0.1875,0.3125
0.6875,0.8125,0.6875,0.8125
0.9375,0.0625,0.9375,0.0625
0.4375,0.5625,0.4375,0.5625
0.3125,0.1875,0.3125,0.1875
0.8125,0.6875,0.8125,0.6875
0.5625,0.4375,0.5625,0.4375
0.0625,0.9375,0.0625,0.9375
0.09375,0.46875,0.09375,0.46875
0.59375,0.96875,0.59375,0.96875
0.84375,0.21875,0.84375,0.21875
0.34375,0.71875,0.34375,0.71875
0.46875,0.09375,0.46875,0.09375
0.81416321527314,0.760346917152623,0.792569876075202,0.667569876075202
0.272484740485103,0.677472491671237,0.323819876075202,0.698819876075202
0.267533261410281,0.317710035292483,0.869324108870509,0.130675891129491
0.257754232261162,0.704981813104307,0.530022127207125,0.905022127207125
0.851457649214291,0.144894942463503,0.822397950039216,0.677602049960784
0.306515969371957,0.266794619943428,0.780022127207125,0.155022127207125
0.851457649214291,0.144894942463503,0.457430123924798,0.876227872792875
0.412467011042905,0.91674567144316,0.8125,0.6875
0.851457649214291,0.144894942463503,0.280022127207125,0.655022127207125
0.272484740485103,0.677472491671237,0.884897950039216,0.115102049960784
0.851457649214291,0.144894942463503,0.8125,0.6875
0.322916392427366,0.676555704706698,0.441505282222934,0.896179311803775
0.851457649214291,0.144894942463503,0.806824108870509,0.193175891129491
0.807034845899046,0.0691773394046882,0.822397950039216,0.677602049960784
0.322916392427366,0.676555704706698,0.302602049960784,0.697397950039216
0.229241479214775,0.685967808652786,0.792569876075202,0.667569876075202
0.244306284027919,0.301601527184097,0.530022127207125,0.905022127207125
0.244306284027919,0.301601527184097,0.869324108870509,0.130675891129491
0.851457649214291,0.144894942463503,0.191505282222934,0.646179311803775
0.257754232261162,0.704981813104307,0.8125,0.6875
0.879323054526428,0.122577581873738,0.504040083497143,0.898835983575575
0.330631150782652,0.671641157207452,0.822397950039216,0.677602049960784
0.561217220143918,0.85872361521105,0.806824108870509,0.193175891129491
0.222041487786607,0.237949308619637,0.302602049960784,0.697397950039216
0.561217220143918,0.85872361521105,0.8125,0.6875
0.466102810208899,0.846114264156252,0.530022127207125,0.905022127207125
0.222041487786607,0.237949308619637,0.869324108870509,0.130675891129491
0.884332231063568,0.0937928667582338,0.474225090255378,0.849225090255378
0.22576861067235,0.257248585447722,0.8125,0.6875
0.561217220143918,0.85872361521105,0.280022127207125,0.655022127207125
0.801856004200671,0.080937709278062,0.822397950039216,0.677602049960784
0.22576861067235,0.257248585447722,0.52525790961156,0.90025790961156
0.561217220143918,0.85872361521105,0.884897950039216,0.115102049960784
0.222041487786607,0.237949308619637,0.323819876075202,0.698819876075202
0.222041487786607,0.237949308619637,0.792569876075202,0.667569876075202
0.873678935163435,0.147153480148283,0.530022127207125,0.905022127207125
0.222041487786607,0.237949308619637,0.8125,0.6875
0.222041487786607,0.237949308619637,0.268022839123454,0.643022839123454
0.453926792124715,0.948740597522895,0.869324108870509,0.130675891129491
0.222041487786607,0.237949308619637,0.504040083497143,0.898835983575575
0.834041059223832,0.694730989835102,0.270747527084476,0.665543427162908
0.834041059223832,0.694730989835102,0.8125,0.6875
0.57509634961881,0.928905561348614,0.817468901380123,0.182531098619877
0.270420668508005,0.25271541498856,0.504040083497143,0.898835983575575
0.194311704004589,0.667014909705626,0.498167604330817,0.873167604330817
0.226749884820324,0.212887466936951,0.869324108870509,0.130675891129491
0.270420668508005,0.25271541498856,0.472185560620834,0.866981460699267
0.788210237875557,0.750549066308198,0.822397950039216,0.677602049960784
0.815530477355016,0.10671827250616,0.280022127207125,0.655022127207125
0.834041059223832,0.694730989835102,0.8613632012553,0.776188447049701
0.26907649274927,0.280833604875322,0.235131429025501,0.649956674819902
0.226749884820324,0.212887466936951,0.837469585994201,0.0988213682531827
0.834041059223832,0.694730989835102,0.530022127207125,0.905022127207125
0.788210237875557,0.750549066308198,0.780645477123692,0.655645477123692
0.270420668508005,0.25271541498856,0.302602049960784,0.697397950039216
0.834041059223832,0.694730989835102,0.874253157529603,0.125746842470397
0.398323616388923,0.969871052269004,0.457828860952467,0.967686958270654
0.212332976880663,0.216978895572679,0.8125,0.6875
0.270420668508005,0.25271541498856,0.291965353198893,0.666965353198893
0.834041059223832,0.694730989835102,0.801895060211416,0.198104939788584
0.811091347210686,0.714154186687131,0.264736975723293,0.67653605872685
0.243080629701908,0.655332012948876,0.822397950039216,0.677602049960784
0.243080629701908,0.655332012948876,0.845464673593142,0.154535326406858
0.243080629701908,0.655332012948876,0.501233643270664,0.933810611143586
0.838624101825132,0.614247163347676,0.526956088267278,0.844379120394356
0.243080629701908,0.655332012948876,0.803868777422204,0.168930974661958
0.243080629701908,0.655332012948876,0.31282724451126,0.704830427436385
0.789069259893068,0.748685180560091,0.874963325213219,0.727089384167507
0.243080629701908,0.655332012948876,0.471428984910386,0.91858789538846
0.286153719946348,0.209922693759536,0.874253157529603,0.125746842470397
0.811044979047616,0.650797261087788,0.230923064324931,0.668622251165044
0.243080629701908,0.655332012948876,0.793609466102756,0.706390533897244
0.259620149389193,0.297772574946773,0.530022127207125,0.905022127207125
0.836910649951236,0.740129173522005,0.831459034633018,0.109813999817125
0.232756937660414,0.271060223297676,0.280022127207125,0.655022127207125
0.259620149389193,0.297772574946773,0.833361891312366,0.725365074237491
0.799505995593189,0.72116532276999,0.490439959539224,0.885235859617656
0.243080629701908,0.655332012948876,0.895115048841969,0.163611916707888
0.243080629701908,0.655332012948876,0.241959043148015,0.694331911099369
0.232756937660414,0.271060223297676,0.784532875801725,0.656740158648418
