"test","sa3","sa4","sa5"
0,0.53496066589731,0.325630631357624,0.000999999445513334
0.00333333333333333,0.498351281964804,0.284097852684174,0.040076017312908
0.00666666666666667,0.460556222821221,0.242219795527844,0.0788838245849043
0.01,0.42170982630402,0.200202432904382,0.11621412743142
0.0133333333333333,0.381962790496463,0.158262051239668,0.151836358432936
0.0166666666666667,0.341481466538109,0.116623611807824,0.185528960612845
0.02,0.300446926600152,0.0755192242288433,0.217079544385648
0.0233333333333333,0.259053811020412,0.0351889193063817,0.246286765816989
0.0266666666666667,0.217508963221881,0.00427455282661602,0.272962363455474
0.03,0.17602986839447,0.0422525526141929,0.296933158489893
0.0333333333333333,0.13484292996386,0.0788495278301286,0.318042960526563
0.0366666666666667,0.0941816912256879,0.113735839699346,0.336154347220568
0.04,0.0542856326762356,0.146683963988873,0.351150293551624
0.0433333333333333,0.0154122590479124,0.177477781025376,0.362935630035976
0.0466666666666667,0.0222953526966918,0.205913288538915,0.371438311661697
0.05,0.0584518815881995,0.231800652656044,0.37661048162109
0.0533333333333333,0.0929032584422197,0.254966357294633,0.378429316220326
0.0566666666666667,0.125414274791494,0.275255276520696,0.3768976397359
0.06,0.155767321259544,0.292532612069084,0.372044300466901
0.0633333333333333,0.183757932175575,0.30668566180882,0.363924301787717
0.0666666666666667,0.209196580398435,0.317625392425051,0.35261868461611
0.07,0.231910869371431,0.325287793508119,0.338234160352642
0.0733333333333333,0.251747687385937,0.329634993318522,0.320902495995826
0.0766666666666667,0.268575226894022,0.330656119452242,0.300779655774397
0.08,0.282284823975376,0.328367890665492,0.278044706255741
0.0833333333333333,0.292792586367404,0.322814929277504,0.252898494507827
0.0866666666666667,0.300040784041964,0.314069786847546,0.225562111606491
0.09,0.303998980095417,0.302232679191449,0.196275156914308
0.0933333333333333,0.304664883144321,0.287430930231261,0.165293823225431
0.0966666666666667,0.302064905879982,0.26981812762908,0.13288883343178
0.1,0.296254418032813,0.249572996625511,0.099343297067521
0.103333333333333,0.287317685740561,0.226898002002909,0.0649507674145823
0.106666666666667,0.275367493178351,0.202017691743048,0.0300162156185027
0.11,0.260544446259044,0.175176800180396,0.00528290710678759
0.113333333333333,0.243015962219401,0.146638134813816,0.040323109381017
0.116666666666667,0.222974952963615,0.116680285754588,0.0750704074758679
0.12,0.200638214200828,0.085595252750902,0.109147587241255
0.123333333333333,0.176244536948974,0.0536864324442491,0.142254250206312
0.126666666666667,0.150052563823722,0.0212725255748548,0.174100417915839
0.13,0.122338423299643,0.0114240566828668,0.204407395583608
0.133333333333333,0.0933932075249261,0.0439053345297907,0.232909951131948
0.136666666666667,0.0635205188639339,0.075983355127642,0.259358579998127
0.14,0.033035785282476,0.107322067212473,0.283521682605179
0.143333333333333,0.00244374295693653,0.137615330202903,0.3051876020826
0.146666666666667,0.0285567587563422,0.166568558678625,0.324166494307614
0.15,0.0589745579043574,0.193900393396365,0.340292009945019
0.153333333333333,0.088739706343248,0.219345213983212,0.353422771836238
0.156666666666667,0.117537710552473,0.242655662309307,0.363443633691053
0.16,0.145067991519607,0.263605033910176,0.370266708339661
0.163333333333333,0.171043743511562,0.281989486179975,0.373832156040867
0.166666666666667,0.195194473907702,0.297630032649611,0.374108725585884
0.17,0.217268716130388,0.310374299975733,0.371094043203349
0.173333333333333,0.237036626624478,0.320098028390648,0.364814646556607
0.176666666666667,0.254292386230367,0.326706299633501,0.355325763418261
0.18,0.26885636526088,0.330134479439812,0.342710836896045
0.183333333333333,0.280577023259936,0.330348864699473,0.327080801354691
0.186666666666667,0.289332520110159,0.32734702845289,0.308573115419766
0.19,0.295032019320949,0.321157858983766,0.287350560657437
0.193333333333333,0.297616668111833,0.311841292370047,0.26359981671204
0.196666666666667,0.297060242634756,0.29948774095098,0.237529825910526
0.2,0.293369450441418,0.284217223237317,0.209369962801359
0.203333333333333,0.286583886107335,0.26617820381859,0.179368027409029
