"m.ei","ei","ei"
3.15211453078982e-05,0.0407669081510711,0.00908609686358027
1.56360319622787e-05,0.0385046801791618,0.00813522135398557
6.9066341219557e-06,0.0359181289853026,0.00711243702598992
2.63935412266743e-06,0.0330035916261007,0.00603913947849785
8.3944700881288e-07,0.0297723360264904,0.00494545392035082
2.10715292270251e-07,0.0262551332654731,0.00386997733962251
3.87523199869763e-08,0.0225072238560207,0.00285800806841717
4.69194565028289e-09,0.0186133531785134,0.0019576088202142
3.19214542970264e-10,0.0146921680044109,0.00121295003782576
9.57249066719503e-12,0.0108984873960927,0.00065495430967289
8.58267664307592e-14,0.00742043970451619,0.000290775369617484
1.19833019942911e-16,0.00446572480271139,9.6459906171384e-05
8.11114303930167e-21,0.00222731261736365,2.02198831901193e-05
2.77575911698859e-27,0.000817089236557866,1.94724467501117e-06
3.70006449202572e-38,0.000172332458882166,4.38728650850034e-08
1.03260869199476e-58,1.15703628220612e-05,4.40401007633884e-11
2.3732882194265e-105,4.17553701521365e-08,1.20163630163568e-17
5.19330855705219e-253,3.00937481570195e-15,8.62780042246142e-38
0,3.60817108264205e-65,2.86357767450695e-184
0,0,0
0,2.28971095180484e-25,4.81220716165742e-68
1.35892286218056e-156,4.84029689545807e-10,1.50170861873857e-23
7.80450049848947e-78,3.10381652679687e-06,5.6421121689615e-13
1.55427160724281e-47,0.000118842283810285,8.34720549402489e-09
1.02942692709958e-32,0.000829985896154269,1.05533822954361e-06
2.40764050754918e-24,0.00275563960030559,1.77632397517486e-05
3.83070314346857e-19,0.00622900196177722,0.000108928404990538
1.11315258754642e-15,0.0112702125080304,0.000378698413978357
2.98349720310251e-13,0.0177306185344472,0.000930296553594097
1.76588237093639e-11,0.0254101685955441,0.00182132122850026
3.82412354576142e-10,0.0341186177045979,0.00304972025666553
4.1257733683521e-09,0.0436992255645963,0.00456341065964981
2.70187995980029e-08,0.0540329179230039,0.00627852426083177
1.22465014438495e-07,0.0650333273124072,0.00809691226019314
4.20375964637435e-07,0.0766378418011683,0.00991943936335041
1.16437858814284e-06,0.0887969703114389,0.0116547259428173
2.72428758214433e-06,0.101462992445032,0.0132241150546074
5.56848341875525e-06,0.114578285642059,0.0145637965981361
1.0197469441215e-05,0.128063524778618,0.0156248247645657
1.70542603929372e-05,0.141805935351513,0.0163714794514607
2.64330404512935e-05,0.155647855384289,0.0167781220408336
3.84050276827573e-05,0.169375972803139,0.0168243608856208
5.27734108345513e-05,0.182711724325313,0.0164878881028818
6.906137358699e-05,0.195303448400914,0.0157336130641129
8.6530929396963e-05,0.206720963445074,0.0144963952817017
0.00010422638198304,0.21645328290726,0.0126522171813425
0.000121034546414668,0.223910174286759,0.00996814162401008
0.000135753830462035,0.22842821745152,0.00601424693459257
0.000147165241781022,0.229281918691484,0.000228468003544695
0.000154099827105494,0.225700291925724,0.0026902049752437
0.000155498608673896,0.216889127223207,0.00207740019132604
0.000150462573845194,0.202058925590342,0.000627708321600602
0.000138291698363142,0.180458178666961,3.87055329225808e-05
0.000118513780042397,0.151411297170501,4.13428049611502e-08
9.09088112181013e-05,0.114360023683945,2.65407952061774e-17
5.55700918184966e-05,0.0689066041834179,1.85353769529885e-64
1.44334550100366e-05,0.0148573099325548,0
0.0101246439183687,0.000344728156620467,4.34375401278324e-317
0.0231856917537714,0.000452830291464015,2.22478405335551e-82
0.0357136474366426,0.000361723011108585,1.63497705366939e-46
0.0476717829295849,0.000220037570399352,2.44067624927476e-34
0.0590238748083848,0.000104982953719246,5.11414492206915e-29
0.0697341373892033,3.82643166072315e-05,1.22707928653195e-26
0.0797673387084859,9.97716586408182e-06,6.29579140401143e-26
0.0890889375782613,1.66195679042537e-06,1.91198319042826e-26
0.097665227259029,1.4677052746476e-07,4.0204435495646e-28
0.105463482560938,5.02026417997609e-09,3.67581385014512e-31
0.112452109088617,3.81792457006389e-11,4.29459342115282e-36
0.118600793866322,2.25137816012454e-14,4.94501934527707e-44
0.123880656814897,1.13874658359072e-19,2.32079124285796e-57
0.128264402727708,2.56212392149827e-29,8.79227203342244e-82
0.131726473579824,5.61529751484984e-50,8.38423407034093e-134
0.134243201244311,1.31247253840306e-108,1.44066929907494e-279
0.135792961027337,0,0
0.136356326938959,0,0
0.135916230404841,0,0
0.134458125398627,2.67934795188862e-110,1.59946209715044e-236
0.131970165103522,4.133920920013e-51,1.99381399883743e-104
0.128443398884308,3.5654448475975e-30,5.2508417327316e-59
0.123872004906266,2.31266893306476e-20,2.51367220044239e-38
0.11825358587694,5.86102431264982e-15,2.85115377006619e-27
0.111589578803652,1.18252727958618e-11,1.01821748123997e-20
0.103885876949882,1.7648283508847e-09,1.49606381870782e-16
0.095153862766275,5.67128007034467e-08,8.99474119918481e-14
0.0854122776004916,6.89653894366993e-07,7.25112062930302e-12
0.0746909022863636,4.3672495986407e-06,1.50102365149999e-10
0.0630384533677572,1.74103058450178e-05,1.14341560686923e-09
0.050541171762211,4.90222382586731e-05,3.83051602544549e-09
0.0373712950667762,0.000104247252934386,5.81121643656461e-09
0.0239275638952196,0.000172377995540309,3.40066295690908e-09
0.0112713572529688,0.000218402066967289,4.42878692875867e-10
0.00222791966519393,0.000191394325650479,2.24125669525872e-12
8.57689109686411e-06,7.65477543689013e-05,2.4316229907174e-19
5.05912077160175e-29,5.86589543440549e-07,1.11017080234178e-64
0,1.32949206888255e-10,0
3.33769865762256e-33,0.0170785411595268,3.38022179577912e-16
4.74407232578247e-18,0.053180750029778,2.55374413847877e-06
1.03559073503469e-13,0.0857260591312422,0.000438673971445892
8.51315304278868e-12,0.112273703304365,0.00327279501753945
8.69585945928833e-11,0.132753808277775,0.00901851897870311
3.22952010138024e-10,0.147561733183705,0.0161990226556529
6.70641677073804e-10,0.157249667428898,0.0232928016938223
9.53122165435779e-10,0.162432010225956,0.029351934484203
1.02911391045179e-09,0.163740087107146,0.0339279455821775
8.93218622176138e-10,0.161794062565613,0.0368982868597816
6.42228336863626e-10,0.157183553315302,0.0383316937791908
3.8786199722134e-10,0.150454117060179,0.0383998798226244
1.97279158191092e-10,0.142098416301448,0.0373222315203954
8.39931872674906e-11,0.13255136450296,0.0353318797145223
2.95172551546282e-11,0.122188717157343,0.0326554957653017
8.37517734753787e-12,0.111328607508595,0.0295020299281368
1.85989682985518e-12,0.100235527859089,0.0260573493873423
3.09960019093729e-13,0.0891262537287201,0.0224827405149114
3.66567259834063e-14,0.0781772105704353,0.0189158183736252
2.85610567147705e-15,0.0675327912858337,0.0154727203228334
1.32763458552969e-16,0.0573141388008751,0.0122506536430233
3.22012960177893e-18,0.0476278935695507,0.00932998030303288
3.3913463810914e-20,0.038574341387539,0.0067751025297064
1.19981527029576e-22,0.0302542365503703,0.00463352165213138
9.88235039755636e-26,0.0227732527600171,0.00293268646608975
1.10661060046941e-29,0.0162424452403676,0.0016748122044139
7.46220836199785e-35,0.010772230424308,0.000831002593469925
8.42788819739802e-42,0.00645633075479633,0.000337928485389543
1.94468601137776e-51,0.0033417309005293,0.000102486674172763
2.36789824204843e-65,0.00138380944203269,1.97283027765136e-05
1.6709084387465e-86,0.000399286733135819,1.79264241906956e-06
6.23842520310394e-121,6.10117659447531e-05,4.23512523587573e-08
