"m.mean","",""
-0.340354923796956,0.196890018971895,0.258179982601438
-0.35031339124538,0.294429023817415,0.358724962694562
-0.359560127570738,0.392834210265364,0.457913399128573
-0.368062579274258,0.490346507599771,0.554133559672326
-0.375789107767858,0.58517215557149,0.645787724803522
-0.382709109256176,0.675526417932005,0.731327597122018
-0.388793138817986,0.759678121832613,0.809289541347482
-0.394013038422093,0.835993639773828,0.878328668386514
-0.398342068533924,0.902978928728278,0.937250779827679
-0.401755042887413,0.959318290941547,0.98504122555415
-0.404228465913365,1.00390862090481,1.02088979690047
-0.405740672231322,1.03588804910638,1.04421087949856
-0.406271967528052,1.05465807948176,1.05465822086754
-0.405804770063358,1.05989853642843,1.05213382381707
-0.404323751964001,1.05157487999431,1.03679065261875
-0.401815979390393,1.02993770469857,1.00902902846905
-0.398271050589462,0.995514498301787,0.969486787142295
-0.393681230781929,0.949093991650776,0.919023467637644
-0.388041582774213,0.891703669891807,0.858698988701656
-0.381350092135473,0.824581230141485,0.789747443243829
-0.373607785739843,0.749140953589422,0.713546792298279
-0.364818842443733,0.666936104904094,0.631585364605631
-0.354990694648946,0.579618574304726,0.545426160471031
-0.344134119495181,0.488897035102541,0.456670015957991
-0.332263318430691,0.396494901072532,0.366918703786232
-0.319395983928237,0.304109334638991,0.277739030089693
-0.305553352145162,0.213372481166574,0.190628932530521
-0.290760240371776,0.125815990780389,0.106986497665871
-0.275045068171395,0.0428397425315225,0.0280826977529354
-0.258439861188179,-0.0343144871329911,-0.0449614956779327
-0.240980236685193,-0.104583861486993,-0.111193126262131
-0.222705369974522,-0.167099479236248,-0.169840074842439
-0.203657941013177,-0.221195388324769,-0.220318549278556
-0.183884060562368,-0.266411679463987,-0.262235281503806
-0.163433175442535,-0.302491911465002,-0.295384642546417
-0.142357952561387,-0.329375292635088,-0.319741043071997
-0.120714141546033,-0.34718419075946,-0.335447123874974
-0.0985604159716725,-0.35620766402653,-0.342798353059371
-0.075958193347161,-0.356881793465793,-0.342224730971585
-0.0529714341903094,-0.349767652241702,-0.334270358131924
-0.0296664207017049,-0.335527768102322,-0.319571644658403
-0.00611151572342311,-0.314901923437412,-0.29883493253659
0.0176230971534423,-0.288683095088678,-0.272814266400207
0.0414656912926326,-0.257694266772971,-0.242289987248651
0.0653432913157412,-0.222766755192798,-0.20804874072279
0.089181982624945,-0.184720581812503,-0.170865391933707
0.112907234605619,-0.144347301528459,-0.131487227639787
0.13644423581723,-0.102395572891797,-0.0906207092774581
0.159718239339269,-0.0595596278835162,-0.0489209224082463
0.182654916309116,-0.0164706778553665,-0.00698375468158352
0.205180715572004,0.0263088191087738,0.0346592699810405
0.227223227261126,0.0682882015317241,0.075543664747613
0.248711548039494,0.109049211082719,0.115272400135436
0.269576645665669,0.148244476220112,0.153514368232519
0.289751720493742,0.185594228335025,0.190001226804454
0.309172561484836,0.22088162748294,0.224522979237712
0.327777894293516,0.25394707771349,0.256922648397456
0.34550971899825,0.284681898022359,0.287090388438456
0.362313635070795,0.31302168656267,0.314957350781697
0.378139151225078,0.338939675944233,0.340489581706317
0.39293997785179,0.362440329469287,0.363682182438269
0.406674299830132,0.383553375333652,0.384553911466895
0.419305027612508,0.402328421391373,0.403142356226
0.430800024600833,0.418830240004596,0.419499750128409
0.441132308973538,0.433134763348773,0.433689463755736
0.450280228279502,0.445325786392026,0.445783157812225
0.458227605287653,0.455492339134199,0.455858551742047
0.464963853767722,0.463726662507854,0.463997736596537
0.470484063077016,0.470122703963868,0.470285944162515
0.474789050638619,0.47477503900097,0.474810676328361
0.477885381616413,0.477778123087369,0.477661098497823
0.479785355319932,0.479225783506393,0.478927607495419
0.480506958105556,0.479210871285332,0.478701496477639
0.480073782777911,0.477825007997455,0.477074655316084
0.478514914734657,0.475158379240361,0.474139263114183
0.475864785337178,0.471299544390512,0.469987448341942
0.472162993226983,0.466335249330583,0.464710910023273
0.467454094540951,0.460350243955434,0.458400509186586
0.461787363206007,0.453427118354932,0.451145852352497
0.455216522713425,0.445646179920889,0.443034897452224
0.447799450982983,0.437085397830805,0.43415361684786
0.439597860125809,0.427820441352546,0.42458575199888
0.430676953100434,0.417924834435255,0.414412690045111
0.421105059427596,0.407470241627786,0.403713484697707
0.410953252284528,0.39652689025475,0.392565033125383
0.400294949437307,0.385164121913797,0.381042407947305
0.389205500589445,0.373451053773998,0.369219330056683
0.377761763825061,0.361457317926993,0.357168754893546
0.366041673905134,0.349253836205731,0.344963533015614
0.354123805234633,0.336913579371815,0.332677096329454
0.34208693235647,0.324512254148606,0.32038411492017
0.330009590844847,0.312128859796941,0.308161066620991
0.31796964146564,0.29984605809772,0.296086662608654
0.306043840445,0.287750306755782,0.284242077441668
0.294307418639659,0.275931716134598,0.27271094085096
0.282833672333985,0.264483602374568,0.26157906076426
0.271693568300107,0.253501725612831,0.250933861789505
0.260955365649397,0.243083219298613,0.240863539810295
0.250684256876965,0.233325234445842,0.231455950445082
0.240942030356903,0.224323339982103,0.222797265817979
0.231786756385786,0.21616973604526,0.214970449317702
0.223272498696923,0.208951350129728,0.208053610793856
0.21544905317941,0.202747895521905,0.202118314109362
0.208361715335746,0.19762997682029,0.197227914483951
0.202051077801244,0.19365732809116,0.193436004216762
0.196552859029482,0.190877265225921,0.190785042025971
0.191897764022235,0.189323425493965,0.189305233530522
0.188111377751674,0.189014854563598,0.189013718738234
0.185214091688748,0.189955485092488,0.189914107460239
0.18322106361662,0.192134032285585,0.191996386217284
0.182142210673477,0.195524311661441,0.195237201466498
0.18198223533684,0.200085963829729,0.199600504974925
0.182740683833517,0.20576555155555,0.205038529034224
0.184412036237112,0.212497976906067,0.211493043031944
0.186985827300366,0.220208151850997,0.218896829629377
0.190446796864007,0.228812845138989,0.227175309222831
0.194775068488777,0.238222622174935,0.236248236032207
0.199946354774232,0.248343793281504,0.24603138835259
0.205932187658079,0.259080289153454,0.256438179225457
0.212700171834328,0.270335390228385,0.267381121762914
0.220214259288469,0.282013248557812,0.278773095059035
0.228435042824037,0.294020155792638,0.290528371292339
