"x1","x2","x3","x4","x5","x6","x7","x8"
0.56618773593895,0.000663403495019412,1.53065241853259e-06,0.124785474265977,0.00125889522784354,0.124785474265977,0.121936881118933,0.0603806050348828
0.562614692704783,0.000417916522850063,1.71042281587051e-06,0.126527353972971,0.00140142572196788,0.126527353972971,0.121673123038284,0.0608364236433563
0.572649695854317,0.000375878787488596,1.14459397671096e-06,0.124085705365149,0.0011458358893267,0.124085705365149,0.120106516895922,0.0575495172486702
0.566256825960241,0.000401911349148949,1.24439630493949e-06,0.122574829485617,0.00124682036710125,0.122574829485617,0.124866524781076,0.0620770141748948
0.558976163184026,0.000733292522470146,1.46173728437972e-06,0.125510139826314,0.00179804684125283,0.125510139826314,0.124854959587238,0.0626157964750995
0.573353274430526,0.000332830044536184,1.21164805166917e-06,0.126872054804897,0.00106137831749147,0.126872054804897,0.116015277703267,0.055491918246333
0.571419246160282,0.000416419389859522,1.738292492489e-06,0.124335622554794,0.00146525051009266,0.124335622554795,0.11718211715108,0.0608439833866038
0.573419001548254,0.000365136378224459,1.08364683199586e-06,0.126806336300348,0.00120879366468549,0.126806336300348,0.113675963465325,0.057717348695983
0.562836104430838,0.000472231654831643,1.30021420710594e-06,0.126457161010135,0.00130771355050252,0.126457161010135,0.120182837899988,0.0622854902293622
0.566794300478124,0.000515253178439255,1.23812580594158e-06,0.125141504690839,0.00112048503524429,0.125141504690839,0.123493607281707,0.0577921065190009
0.569451852992618,0.000426508616142004,1.14446316468426e-06,0.124242074314628,0.00126370417253681,0.124242074314628,0.120733474995543,0.0596391661307405
0.555829853360384,0.000607726055167719,1.3940581131732e-06,0.128475105009934,0.00135269749515487,0.128475105009934,0.123799706306679,0.0614584127046336
0.555493244947522,0.000488995237786742,1.48105422032532e-06,0.124222901189399,0.00148398591023081,0.124222901189399,0.131059195598692,0.0630272948727501
0.557998607519467,0.000570743915332194,1.5108213465671e-06,0.125226166592915,0.00154153628725616,0.125226166592915,0.125408820676059,0.0640264475947095
0.559483596058722,0.0003811037156004,1.26812073977314e-06,0.128484883534141,0.00121042181695193,0.128484883534141,0.122438945347717,0.0595148978719865
0.571992751289472,0.000323107368486885,1.12859775455197e-06,0.12553677989196,0.00123202040757875,0.12553677989196,0.115773688895074,0.0596037436577137
0.568656496930263,0.00037829809737781,1.3928615776089e-06,0.121301949804437,0.00139881568603068,0.121301949804437,0.127827955851627,0.0591331409642493
0.561613685224767,0.000399511986342328,1.33502776116524e-06,0.131062674262004,0.0015363940330013,0.131062674262004,0.114368443448176,0.0599552817559438
0.557201186448813,0.000450872554660274,1.38000054388422e-06,0.128865389916729,0.00169557004232313,0.128865389916729,0.11999518082111,0.0629250302990922
0.559413238530145,0.000447110648579365,1.42616684352396e-06,0.129468938085632,0.00153704811221651,0.129468938085632,0.117308057853891,0.0623552425170608
0.571484277061397,0.000425502803207911,1.25745650173703e-06,0.124693046147547,0.00127715401385407,0.124693046147547,0.117390595677126,0.0600351206928184
0.577750022553745,0.000303718648641912,1.20449861897284e-06,0.119206984006642,0.00108842639270272,0.119206984006642,0.123526475786825,0.0589161841061821
0.558418978810715,0.000405033205799186,1.48357215799224e-06,0.128848141534248,0.00146157615200709,0.128848141534248,0.118764546794235,0.0632520983965909
0.577453251556836,0.000359916700998039,1.41991727874753e-06,0.124499615987985,0.00117679227072981,0.124499615987986,0.113394539633849,0.0586148479443369
0.56336453199714,0.000420980075022248,1.17595998956903e-06,0.12619512752777,0.00118946920917637,0.12619512752777,0.122003751656844,0.0606298360462872
0.566848234047129,0.00045026818628124,1.31006938597824e-06,0.127781095776562,0.00133409222575547,0.127781095776562,0.117054585903306,0.0587493180150185
0.571980447444072,0.000375123335860403,1.12828247116837e-06,0.128740924996833,0.00113041794618458,0.128740924996833,0.113502163077628,0.0555288699201182
0.556756642760117,0.000368130570522515,1.38968873277032e-06,0.126400839327646,0.00139015659289757,0.126400839327646,0.127438828736122,0.0612431729963166
0.583317729426818,0.000390451875593938,1.11600125849651e-06,0.120426503060852,0.00100686105484725,0.120426503060852,0.116987299320511,0.0574435361992673
0.561435262070446,0.000425181744289537,1.43963508670471e-06,0.125499160613711,0.0013845915047534,0.125499160613711,0.123654856373944,0.0621003474440591
0.55673936486452,0.000680378400218981,1.67105770784808e-06,0.124503673413202,0.00139276719827624,0.124503673413203,0.128846459329367,0.0633320123235051
0.582763905440443,0.000276881530503078,1.06060255942567e-06,0.121495059511805,0.00103127653514183,0.121495059511805,0.11644997272753,0.0564867841402129
0.551130440383086,0.00066308940434368,1.72278555357418e-06,0.12867516121911,0.00152039247788825,0.128675161219109,0.124188193988445,0.0651458385224645
0.584953786809364,0.000488038092236584,1.0750573749935e-06,0.120927745116632,0.00107782204902637,0.120927745116632,0.111679618254299,0.0599441695044346
0.564006947975257,0.000458949927073134,1.42166898959409e-06,0.129274218346039,0.00121282106873684,0.129274218346039,0.117496883003414,0.0582745396644506
0.560827101047622,0.000369426030275116,1.26903478608954e-06,0.12391995747911,0.00139803665839798,0.12391995747911,0.127916354313818,0.0616478979568817
0.558156991638343,0.000609872628401109,1.42464955704257e-06,0.125365735529829,0.00142786147592668,0.125365735529829,0.126649395289695,0.0624229832584197
0.556230698726173,0.000461989106676782,1.66473380560072e-06,0.124295223188381,0.00156909239209388,0.124295223188381,0.131496219529985,0.0616498891345039
