"test","sa1","sa2","sa3","sa4"
0,0.000999999449454628,0.0396805023317437,0.53496066589731,0.325630631357624
0.00333333333333333,0.0404138979610335,0.0171773019059241,0.498351281964804,0.284097852684174
0.00666666666666667,0.0795997175031115,0.00307162632620938,0.460556222821221,0.242219795527844
0.01,0.117348526476946,0.0203834669381467,0.42170982630402,0.200202432904382
0.0133333333333333,0.153429915469153,0.0351258429904574,0.381962790496463,0.158262051239668
0.0166666666666667,0.187622032707144,0.0470973371206299,0.341481466538109,0.116623611807824
0.02,0.219711725646672,0.0562477487509674,0.300446926600152,0.0755192242288433
0.0233333333333333,0.249496394590384,0.0625621366902397,0.259053811020412,0.0351889193063817
0.0266666666666667,0.276786008308004,0.0660586787210447,0.217508963221881,0.00427455282661602
0.03,0.301405088468743,0.0667886218061994,0.17602986839447,0.0422525526141929
0.0333333333333333,0.323194606117204,0.0648361284868281,0.13484292996386,0.0788495278301286
0.0366666666666667,0.342013759094109,0.0603177415100127,0.0941816912256879,0.113735839699346
0.04,0.357741606718515,0.0533814240422447,0.0542856326762356,0.146683963988873
0.0433333333333333,0.370278541424385,0.0442052214960853,0.0154122590479124,0.177477781025376
0.0466666666666667,0.379547579410616,0.0329957961512372,0.0222953526966918,0.205913288538915
0.05,0.385495454510539,0.0199885223034944,0.0584518815881995,0.231800652656044
0.0533333333333333,0.388093501645005,0.00548846287947316,0.0929032584422197,0.254966357294633
0.0566666666666667,0.387338318457251,0.0104938956859547,0.125414274791494,0.275255276520696
0.06,0.38325219604793,0.0272927455994608,0.155767321259544,0.292532612069084
0.0633333333333333,0.375883312124368,0.0447963995169497,0.183757932175575,0.30668566180882
0.0666666666666667,0.365305682331148,0.0626747289990908,0.209196580398435,0.317625392425051
0.07,0.351618868018702,0.0806085154346017,0.231910869371431,0.325287793508119
0.0733333333333333,0.334947441211912,0.0982796620619349,0.251747687385937,0.329634993318522
0.0766666666666667,0.315440210043734,0.115373964471315,0.268575226894022,0.330656119452242
0.08,0.293269210408579,0.131584914798492,0.282284823975376,0.328367890665492
0.0833333333333333,0.268628472073102,0.146617610771413,0.292792586367404,0.322814929277504
0.0866666666666667,0.241732570010228,0.160192561384952,0.300040784041964,0.314069786847546
0.09,0.212814974478745,0.172049295632745,0.303998980095417,0.302232679191449
0.0933333333333333,0.182126216962859,0.181949710235751,0.304664883144321,0.287430930231261
0.0966666666666667,0.149931895717416,0.189681104643361,0.302064905879982,0.26981812762908
0.1,0.116510563876515,0.195058859855617,0.296254418032813,0.249572996625511
0.103333333333333,0.0821516294823742,0.197928724993021,0.287317685740561,0.226898002002909
0.106666666666667,0.0471540554444556,0.198168682864879,0.275367493178351,0.202017691743048
0.11,0.011844995470968,0.195690373248264,0.260544446259044,0.175176800180396
0.113333333333333,0.0235921153683075,0.190440060171096,0.243015962219401,0.146638134813816
