"effect","value"
"1",-0.391540882709419
"2",-10.5887059375815
"3",82.956711932368
"4",164.873607500713
"12",-0.18744237644331
"13",-1.12567353770461
"14",1.7307955583767
"23",13.2692044416233
"24",-5.87432646229541
"34",-72.8125576235568
"123",0.1263924992869
"124",0.0432880676319313
"134",-0.411294062418492
"234",-0.608459117290556
"1234",9.97465998686664e-18
