"m.up","up","up"
0.817932039731442,1.49532579437682,1.45199282704072
0.793327638916658,1.46914180862412,1.4286078895692
0.768067289410221,1.43921282721826,1.40160112693624
0.742183126748802,1.4052353060057,1.37064463303716
0.715710648080427,1.36693205697639,1.33543209347437
0.688688633969868,1.32406300412228,1.29568979641728
0.661159046585426,1.27643581357419,1.25118776551123
0.633166904289153,1.223915909279,1.20175056886921
0.604760132866258,1.16643537984939,1.1472673506384
0.575989393870409,1.10400030363056,1.08770064832597
0.546907890854454,1.03669606695969,1.02309359893728
0.517571154662048,0.964690323215003,0.953575197674862
0.488036809638895,0.888233334615385,0.879363351035688
0.458364324063502,0.807655551018656,0.800765557394472
0.428614751894794,0.723362406005694,0.718177148110886
0.398850485378205,0.635826447587772,0.632077128030762
0.369135090594972,0.54557707709949,0.543021774338431
0.339533619721426,0.453188442699782,0.451636384906037
0.31011796544117,0.35926804319863,0.358607527454213
0.290384631429497,0.30952941031812,0.30608230163027
0.298129000705194,0.394108762778182,0.375457833055126
0.30467759264813,0.476951315744681,0.440670959653178
0.309935071262924,0.557134618550617,0.500588750766679
0.313853103787588,0.633766619269732,0.554117362153993
0.316389889509483,0.705982177270957,0.60020684166776
0.317508856094734,0.772956421287219,0.637874437031064
0.317178704703019,0.833917292087115,0.666228788451576
0.31537364230614,0.888156506276996,0.68449411343267
0.31207364203123,0.935038746075932,0.692033915185115
0.307264694786448,0.974009055823098,0.688373758241943
0.300939040019191,1.00459855654436,0.673222609601663
0.293095370085679,1.02642870272707,0.646492180670205
0.283739004944748,1.03921439748578,0.608313636984904
0.27288203482248,1.04276634573137,0.559050979430253
0.260543428989532,1.03699305177494,0.49931035334503
0.24674910912711,1.02190285164753,0.429944521965268
0.231531986030455,0.997606308000716,0.352051758872771
0.214931958649015,0.96431918772406,0.266968479590564
0.196995874706119,0.922366095354557,0.176255051352167
0.17777745238438,0.872184660089169,0.0816743947134481
0.15733716280865,0.81432998630537,-0.0148367810006013
0.135742073306913,0.749478895402979,-0.111203991067617
0.113065651681162,0.678433329711521,-0.205257808665082
0.0893875319753342,0.602122174746791,-0.294782755197039
0.0647932424872942,0.521600698060616,-0.37757114104878
0.0393738970403868,0.438046809802108,-0.451480391678992
0.0132258508171887,0.35275342435436,-0.514491879115225
-0.0135496776135031,0.267116340582682,-0.564766688018807
-0.0408470160197909,0.182617251805306,-0.59960700368
-0.0685564772580215,0.10080173323558,-0.566894951006291
-0.0965648230299353,0.0232523196458015,-0.531805510132499
-0.12475574545931,-0.0484429361448577,-0.49537270751303
-0.153010349866791,-0.112725756912672,-0.457413725025844
-0.181207587090424,-0.168105852112413,-0.417640087739844
-0.209224409346609,-0.213200820550495,-0.375678151150209
-0.236933997519879,-0.246775764710838,-0.331090413785595
-0.264148867245435,-0.267759163992683,-0.283345204213667
-0.271125208907441,-0.1717294892918,-0.191127004483622
-0.271077502243604,-0.0365927011793671,-0.0764120796227785
-0.270727747395609,0.0999857220158042,0.045522042826512
-0.270134158115267,0.235945501670143,0.171992510195981
-0.269343631181394,0.369154251968768,0.300194621711933
-0.268399426761147,0.497453860684187,0.427269095879337
-0.26734168674958,0.618712761791361,0.550378471500262
-0.266207278638855,0.730879859260959,0.666783584568833
-0.265029526140598,0.832038180005046,0.773917104783582
-0.263837929933434,0.920456489953644,0.869451717737124
-0.262657907115593,0.994637171235266,0.951360838259468
-0.261510560236865,1.05335876233709,1.01797005396075
-0.260412481376496,1.09571172282926,1.06799785701259
-0.25937559466354,1.12112620082343,1.10058462264799
-0.258407039626739,1.12939086180656,1.11530923570641
-0.25750909712716,1.12066226257879,1.11219333761356
-0.256679159135485,1.09546589401682,1.09169507263312
-0.255909743179963,1.05585560257967,1.05580503780474
-0.255188551876751,1.12032775585078,1.10191475788014
-0.25449857754834,1.17171435187885,1.13718960160782
-0.253818251533359,1.20755643623395,1.15942411514632
-0.253121637391676,1.22689990465651,1.16776970323628
-0.252378666813139,1.22914471542343,1.16164730861644
-0.251555416647886,1.21405278993025,1.14076549307188
-0.250614425091608,1.18174788486145,1.10513155370783
-0.249515044679443,1.13270614700789,1.05505370965553
-0.248213829362102,1.06773768043583,0.991134240410083
-0.24666495254267,0.987959859409063,0.914253942006255
-0.244820652505424,0.894763381978087,0.825548600984438
-0.242631701074839,0.789772261748894,0.72637845960873
-0.240047890352531,0.674799107914234,0.618291866349036
-0.237018530254065,0.551797146217784,0.502984470947002
-0.23349294385506,0.422810486465702,0.382255431911527
-0.229420928611344,0.289924149615118,0.257962158861966
-0.224753071132714,0.15521534858922,0.131975131004274
-0.219440310570066,0.0207075996092642,0.00613444088159382
-0.213425771820633,-0.111668624423499,-0.11778818861887
-0.200471547860691,-0.202206324404449,-0.202441480481
-0.168499715896721,-0.169748642761394,-0.17103615382211
-0.135902640324695,-0.125970957294704,-0.128510026309248
-0.102885828184526,-0.0720013168960481,-0.0759998054435104
-0.069591541409422,-0.00908907494614097,-0.0147552968566121
-0.0361597273912792,0.0614102122299299,0.0538762376782689
-0.0027298186102841,0.138070968800108,0.128485861597239
0.030559563406696,0.219432929493716,0.207637545476219
0.0635712209561928,0.304033917426442,0.289899944652248
0.0961700653358396,0.390439102974195,0.373874485907571
0.128223817286751,0.477266064736164,0.458219158123015
0.159603703196209,0.563205230907531,0.541667650822159
0.190185137555437,0.64703553737842,0.623043732151913
0.21984838542893,0.727635391520673,0.701270998877822
0.248479199962613,0.803989265420433,0.775378353876037
0.275969430561038,0.875190445588068,0.844501758581422
0.30221759772613,0.94044062501743,0.907882956708938
0.327129430826126,0.999047127210962,0.964865961146919
0.350618365314362,1.05041859341599,1.01489213147847
0.372605996168927,1.09405994165088,1.05749464297977
0.39302248458712,1.12956732254772,1.09229306241526
0.411806915248006,1.15662366166047,1.11898861023733
0.428907601754038,1.17499520463195,1.13736051643742
0.444282338179537,1.18452928777152,1.14726368513581
0.457898594990425,1.18515336072233,1.14862768917708
0.469733657957387,1.17687510757412,1.1414569377371
0.479774709067835,1.15978336263868,1.12583171159388
0.488018848860547,1.1340494074871,1.10190965239132
0.494473060085454,1.09992817221428,1.06992722924861
0.499154113189609,1.05775884703057,1.03020068913612
0.502088415003787,1.00796443706152,0.983126023398892
0.503311803584088,0.951049857751653,0.929177545768642
0.502869295790263,0.88759826309861,0.868904769813687
0.500814804675215,0.818265416872666,0.802927388893637
0.497210882241669,0.743772055435835,0.731928296670159
0.492128733894659,0.664894377655028,0.656644767656851
0.485650309436352,0.582453380168257,0.577858477846641
0.477930342934999,0.497320692895936,0.496401267688289
0.487016373078931,0.54528265210273,0.542305791929507
0.500956795529705,0.636152756394065,0.629205638664075
0.513582625606337,0.724219972963411,0.713328331587892
0.524822197456999,0.808831666630546,0.794052860580718
0.534621143552261,0.889374196801418,0.87079726775571
0.54293398664294,0.965281246782858,0.943026482642709
0.549723528580811,1.03604239349988,1.01026034309356
0.554960951257869,1.10120949185623,1.07207948476581
0.558626017340869,1.16040048796297,1.12812873703821
0.560707259065776,1.21330057577541,1.17811795185426
0.561202125276102,1.2596607931749,1.22182036650962
0.560117076386341,1.29929431198431,1.25906875351261
0.557467622984488,1.33207081742192,1.28974974573268
0.553278306150746,1.35790949008596,1.31379683738221
0.54758261875176,1.37677118988253,1.33118264346208
0.540422867719525,1.38865048898898,1.34191104509449
0.531849977896552,1.39356820430237,1.34600985024562
0.521923238518935,1.39156503593483,1.34352455593325
0.51070999385443,1.38269682792188,1.33451370986311
0.498285279928507,1.36703183538087,1.31904624136501
0.484731409663578,1.34465021815019,1.29720097244404
0.470137509127066,1.31564579737814,1.26906834219142
0.454599007932872,1.28012992393722,1.23475419649007
0.438217087168149,1.23823713191438,1.19438532531927
0.421098088523713,1.19013210154919,1.14811628624257
0.403352888594517,1.13601734572332,1.09613694626452
0.385096242593227,1.07614097019875,1.03868011260521
0.366446102001749,1.01080384338039,0.976028609037111
