"D1.1","D1.2"
0.764407649067617,0.122031337784528
0.344071363485781,0.208178772170112
0.480005284473323,0.602394532135001
0.961588579589031,0.440269685845353
0.893805039240543,0.686678297155544
0.730057822649967,0.944281284847204
0.601639361187628,0.907770776585968
0.814443242210007,0.397042985023885
0.986624749247238,0.960230678282504
0.57868054610701,0.0199001285681522
0.635710780502462,0.282377180863068
0.686867949156248,0.418970547367131
0.196653501556244,0.29993990442812
0.754000939364766,0.666085317568365
0.534081288247729,0.792224668982118
0.226318336358386,0.15221970706609
0.470106845612445,0.0639189378577644
0.804028956881505,0.7720985936002
0.0697478199276673,0.9172083796448
0.375692516381269,0
0.548410140931791,0.549657264220716
0.612952653078856,0.0932318247299863
0.395927826025389,0.269195211615923
0.313576825905831,0.11108696111627
0.206354565997914,0.953120108379676
0.0520300011999396,0.129262444533339
0.872658193462279,0.47265849665931
0.00723742632643055,0.0542050523898255
0.971756240389077,0.720932163147473
0.428437218773611,0.172561388508671
0.707896676415332,0.195247944326106
0.217760428550832,0.622576375656818
0.173138080822845,0.538934654073057
0.436632712582581,0.759726383846671
0.240247025591611,0.804333286515188
0.186825470448267,0.746786993184854
0.949239168705312,0.21770370761401
0.773312319347053,0.884796172323384
0.675568790184312,0.0467794442861811
0.785209986587956,0.527846128504813
0.514026738543889,0.459700145882021
0.90581418015825,0.344542006400746
0.250597297245369,0.247235210130266
0.622828078420893,0.633332990155429
0.667221978827421,0.835937592160623
0.163418260600068,0.0824029139145555
0.0404446672975395,0.449111025980142
0.844214553648307,0.613549778453064
0.105403221888685,0.503132173985966
0.560270140565368,0.234420742073649
0.294790747216118,0.353011884371394
0.462847640820553,0.863686112555215
0.0315283922118818,0.845162881798712
0.79610499633712,0.00614784456825871
0.416123307251616,0.516133360594158
0.3350763146349,1
0,0.375694191942484
0.85397242960993,0.0738634425269008
0.354921374416719,0.824974593456599
0.825696108466083,0.978981064363343
0.698240041138999,0.737033476759365
0.503105996359895,0.968726833525601
0.83367066233276,0.256791434062969
0.0896984940972366,0.780533474925292
0.263504048341598,0.480980168519955
0.92485629696377,0.560804466115407
0.932752350397619,0.0294880165061032
0.913680767559376,0.923342074040571
0.364876198817873,0.431228066782284
0.993066807352601,0.293430239089407
0.740739896831035,0.324605830818167
0.0601198930940623,0.59141984628118
0.571384520894363,0.698583317301442
0.52597686601931,0.139492651358824
0.114980883194077,0.985366041476346
0.493131689635589,0.311764399346167
0.273644791790207,0.0365909860260499
0.282653206547919,0.710783085451131
0.0232916621992458,0.225515051151791
0.324110156279499,0.570379475646998
0.304073679186047,0.895762511959487
0.122600429625363,0.186230864221834
0.941549092394454,0.813121025487622
0.384360643630372,0.654350842385456
0.0790021468724482,0.332946690648681
0.404722000274271,0.932780874736992
0.979232410382067,0.103437800534986
0.145649553110253,0.407043594029848
0.653851487544104,0.494044171382891
1,0.644101030182141
0.0127215667760503,0.726989013438379
0.155604338730423,0.87518112559533
0.71893827732237,0.581980136191221
0.450194830107634,0.386821198714111
0.862245392228967,0.853330214615184
0.643503299416447,0.99274279697728
0.885202660232534,0.16150376110733
0.591989280294954,0.365545114420882
0.0963923237048633,0.0122786324460791
0.132100503258343,0.676664756107702
